case_id,merchant_name,mcc_category,archetype,merchant_tenure_days,avg_daily_txn_30d,volume_spike_ratio,refund_rate_30d,chargeback_rate_90d,kyc_completeness_score,bank_account_changed_flag,days_since_bank_change,customer_complaint_count_30d,device_ip_diversity_score,night_txn_ratio,is_festive_period,prior_flags_count,prior_flags_confirmed_fraud,avg_ticket_size,ticket_size_change_ratio,label_is_fraud,risk_score,decision_tier,naive_freeze
CASE00015,Galloway-Wyatt,fashion_apparel,festive_spike,180,208.9,4.9,0.093,0.0058,0.99,0,463,1,0.38,0.11,1,1,0,50.0,1.16,0,0.20853855,agent_review,1
CASE00016,James Group,handicrafts_d2c,organic_growth,400,151.5,1.17,0.012,0.0022,0.98,0,398,1,0.31,0.12,0,1,0,518.0,0.98,1,0.06619593,auto_clear,0
CASE00017,"Flowers, Martin and Kelly",electronics,festive_spike,180,31.1,4.71,0.065,0.008,0.89,0,740,0,0.43,0.08,1,0,0,761.0,1.14,0,0.16697913,auto_clear,1
CASE00018,"Adams, Zuniga and Wong",fashion_apparel,bank_account_update,733,37.1,1.17,0.019,0.0069,0.99,1,5,0,0.24,0.05,0,1,0,971.0,0.98,0,0.01614928,auto_clear,1
CASE00019,"Reid, Ferguson and Sanchez",home_decor,account_takeover,553,140.9,1.97,0.082,0.0106,0.91,1,2,1,0.62,0.31,0,0,0,467.0,0.84,0,0.36111528,agent_review,1
CASE00020,Gray-Mayo,handicrafts_d2c,account_takeover,650,183.8,1.5,0.04,0.0,0.92,1,4,1,0.64,0.41,0,0,0,459.0,1.07,0,0.23221529,agent_review,1
CASE00021,"Watts, Robinson and Nguyen",travel_hospitality,bank_account_update,300,5.0,0.96,0.088,0.0067,0.95,1,1,1,0.27,0.08,0,0,0,1116.0,1.03,0,0.1810797,auto_clear,1
CASE00022,Perez Inc,electronics,festive_spike,1053,207.3,2.79,0.039,0.0113,0.88,0,326,1,0.14,0.11,1,0,0,1259.0,0.76,0,0.017889794,auto_clear,1
CASE00023,Morales-Jones,travel_hospitality,account_takeover,485,162.4,2.54,0.048,0.0152,0.92,1,4,1,0.57,0.48,0,0,0,444.0,0.99,1,0.5248508,agent_review,1
CASE00024,"Walter, Edwards and Rios",travel_hospitality,festive_spike,507,131.4,4.44,0.097,0.01,1.0,0,832,0,0.18,0.07,1,1,0,1599.0,0.88,0,0.038057152,auto_clear,1
CASE00025,Wilkerson-Day,handicrafts_d2c,account_takeover,294,43.1,1.47,0.03,0.0285,0.92,1,4,0,0.44,0.43,0,1,0,545.0,1.05,0,0.33683005,agent_review,1
CASE00026,Baker and Sons,travel_hospitality,card_testing_mule,60,207.1,4.14,0.041,0.0316,0.69,0,220,0,0.75,0.3,0,0,0,20.0,0.44,0,0.20353067,agent_review,1
CASE00027,"Hoffman, Baker and Richards",travel_hospitality,bank_account_update,317,156.9,1.04,0.043,0.0034,0.74,1,3,0,0.19,0.11,0,0,0,452.0,1.02,0,0.10547913,auto_clear,1
CASE00028,"Ross, Robinson and Bright",saas_subscription,card_testing_mule,32,88.6,5.12,0.056,0.0887,0.84,0,368,0,0.73,0.26,0,2,0,293.0,0.41,1,0.8759066,escalate,1
CASE00029,"Snyder, Campos and Callahan",travel_hospitality,card_testing_mule,30,62.2,2.51,0.036,0.0285,0.35,0,278,0,0.78,0.29,0,1,0,243.0,0.31,0,0.6749261,agent_review,1
CASE00030,Burton Ltd,beauty_cosmetics,bank_account_update,300,207.7,0.65,0.055,0.0004,0.96,1,1,0,0.35,0.07,0,1,0,1111.0,1.08,0,0.2534638,agent_review,1
CASE00031,Carlson-Cruz,food_delivery,festive_spike,795,151.0,4.6,0.127,0.005,0.95,0,518,0,0.48,0.14,1,0,0,1142.0,1.06,1,0.48573852,agent_review,1
CASE00032,"Ferrell, Rice and Maddox",travel_hospitality,festive_spike,444,43.2,2.51,0.088,0.0104,1.0,0,615,0,0.32,0.03,1,0,0,824.0,0.87,0,0.015433007,auto_clear,1
CASE00033,Frazier Inc,saas_subscription,card_testing_mule,29,55.1,6.23,0.025,0.0554,0.63,0,664,1,0.76,0.17,0,0,0,296.0,0.7,1,0.9928647,escalate,1
CASE00034,"Dyer, Potter and Mack",travel_hospitality,festive_spike,525,134.6,5.06,0.102,0.0031,1.0,0,801,1,0.09,0.0,1,1,0,753.0,1.12,0,0.14081687,auto_clear,1
CASE00035,Rodriguez-Graham,grocery,card_testing_mule,65,230.2,5.07,0.078,0.0751,0.67,0,821,0,0.81,0.32,0,0,1,262.0,0.51,1,0.90729755,escalate,1
CASE00036,Smith-Bowen,home_decor,festive_spike,444,169.9,3.53,0.087,0.0027,0.92,0,231,0,0.37,0.08,1,0,0,50.0,1.0,0,0.06285573,auto_clear,1
CASE00037,"Baker, Mason and White",travel_hospitality,card_testing_mule,52,137.3,4.13,0.031,0.1126,0.5,0,631,0,0.79,0.3,0,0,0,42.0,0.57,1,0.9098108,escalate,1
CASE00038,Harrell LLC,grocery,card_testing_mule,38,153.3,5.45,0.06,0.1,0.86,0,571,0,0.78,0.37,0,0,0,159.0,0.51,1,0.99226886,escalate,1
CASE00039,"Romero, Gonzalez and Brooks",beauty_cosmetics,festive_spike,763,173.2,5.28,0.157,0.0062,0.92,0,331,2,0.13,0.1,1,1,0,515.0,1.14,1,0.7667085,escalate,1
CASE00040,Ryan PLC,beauty_cosmetics,card_testing_mule,47,38.1,5.8,0.025,0.0871,0.66,0,306,0,0.6,0.35,0,0,0,220.0,0.58,0,0.32616848,agent_review,1
CASE00041,George Group,food_delivery,account_takeover,326,172.2,2.19,0.076,0.0065,0.89,1,2,3,0.68,0.4,0,0,0,776.0,0.93,0,0.8473784,escalate,1
CASE00042,Rodriguez LLC,handicrafts_d2c,bank_account_update,300,103.6,1.34,0.052,0.0064,0.9,1,3,0,0.09,0.06,0,0,0,814.0,1.0,0,0.05041383,auto_clear,1
CASE00043,Allen-Allen,handicrafts_d2c,card_testing_mule,35,160.6,5.01,0.059,0.0783,0.58,0,433,0,0.83,0.33,0,0,1,312.0,0.53,1,0.8838592,escalate,1
CASE00044,"Arroyo, Miller and Tucker",saas_subscription,festive_spike,180,206.7,2.74,0.085,0.0005,0.94,0,899,0,0.32,0.15,1,0,0,565.0,1.14,0,0.03341475,auto_clear,1
CASE00045,Spence PLC,fashion_apparel,account_takeover,108,159.2,2.61,0.028,0.0473,0.96,1,0,3,0.53,0.45,0,1,0,1252.0,1.06,1,0.96940863,escalate,1
CASE00046,Anderson Group,handicrafts_d2c,card_testing_mule,39,60.7,7.01,0.04,0.0661,0.59,0,224,0,0.93,0.33,0,1,0,304.0,0.47,1,0.99369663,escalate,1
CASE00047,"Martin, Rose and Obrien",education,festive_spike,681,96.9,4.8,0.082,0.0057,0.84,0,296,0,0.37,0.09,1,2,0,233.0,0.88,0,0.13805611,auto_clear,1
CASE00048,Hickman Ltd,travel_hospitality,card_testing_mule,48,98.2,2.86,0.002,0.0834,0.58,0,730,1,0.74,0.36,0,1,1,179.0,0.25,1,0.8593925,escalate,1
CASE00049,"Harris, Collins and Carney",handicrafts_d2c,organic_growth,400,209.1,1.1,0.014,0.0016,0.94,0,294,1,0.23,0.04,0,0,0,919.0,1.09,0,0.019153832,auto_clear,0
CASE00050,"Brooks, Lam and Hayes",home_decor,festive_spike,180,117.3,4.25,0.093,0.0081,0.94,0,480,0,0.24,0.11,1,0,0,580.0,0.89,0,0.0802831,auto_clear,1
CASE00051,Walker LLC,education,bank_account_update,649,196.6,0.97,0.074,0.0029,0.94,1,5,0,0.14,0.13,0,0,0,481.0,1.03,1,0.5458558,agent_review,1
CASE00052,Chapman and Sons,handicrafts_d2c,account_takeover,729,117.0,2.41,0.023,0.0288,0.95,1,3,3,0.65,0.52,0,0,0,809.0,0.94,1,0.867441,escalate,1
CASE00053,"Robinson, Jones and Welch",saas_subscription,organic_growth,473,96.3,1.23,0.045,0.0,0.94,0,798,0,0.2,0.08,0,0,0,50.0,1.06,0,0.022997472,auto_clear,0
CASE00054,Jones Inc,electronics,bank_account_update,300,79.5,1.29,0.051,0.0123,0.9,1,0,0,0.42,0.04,0,0,0,791.0,0.84,0,0.034145348,auto_clear,1
CASE00055,Jones-Young,home_decor,bank_account_update,300,136.2,1.17,0.077,0.0069,0.82,1,9,0,0.22,0.1,0,0,0,589.0,0.9,0,0.032826215,auto_clear,1
CASE00056,"Washington, Ryan and Cummings",travel_hospitality,card_testing_mule,9,148.0,7.27,0.03,0.0168,0.6,0,511,0,0.88,0.37,0,2,1,266.0,0.23,1,0.99380726,escalate,1
CASE00057,"Johnston, Sanchez and Kennedy",travel_hospitality,account_takeover,322,14.9,3.09,0.065,0.0219,0.93,1,2,0,0.48,0.52,0,0,0,1545.0,1.06,0,0.37503088,agent_review,1
CASE00058,Lee-Davis,home_decor,card_testing_mule,15,150.8,4.26,0.085,0.0846,0.72,0,443,0,0.88,0.43,0,1,1,196.0,0.34,1,0.9758292,escalate,1
CASE00059,Gomez-Jenkins,electronics,organic_growth,400,45.2,1.12,0.027,0.0028,0.97,0,359,0,0.33,0.2,0,0,0,677.0,0.94,0,0.1647447,auto_clear,0
CASE00060,"Brown, Valdez and Lucas",electronics,account_takeover,446,141.4,2.53,0.026,0.0031,0.94,1,0,1,0.36,0.32,0,0,0,93.0,1.01,1,0.9257965,escalate,1
CASE00061,Powell LLC,grocery,organic_growth,454,166.7,1.18,0.058,0.0044,0.9,0,391,0,0.3,0.05,0,0,0,659.0,0.89,0,0.02925889,auto_clear,0
CASE00062,Wright and Sons,saas_subscription,bank_account_update,532,149.9,1.04,0.039,0.013,0.73,1,4,1,0.39,0.0,0,0,0,884.0,0.93,0,0.025309188,auto_clear,1
CASE00063,"West, Henderson and Ramirez",saas_subscription,account_takeover,870,109.8,1.88,0.052,0.0309,0.92,1,2,2,0.87,0.32,0,0,0,696.0,1.08,0,0.16019063,auto_clear,1
CASE00064,Baxter Inc,fashion_apparel,bank_account_update,300,166.3,1.06,0.037,0.0034,0.91,1,2,0,0.24,0.02,0,0,0,1092.0,0.84,0,0.1028454,auto_clear,1
CASE00065,Morton-Chase,grocery,festive_spike,844,140.7,4.75,0.068,0.0072,0.94,0,476,1,0.39,0.03,1,0,0,245.0,0.86,0,0.0430423,auto_clear,1
CASE00066,Williams PLC,fashion_apparel,card_testing_mule,66,188.0,4.71,0.012,0.0823,0.61,0,402,1,0.82,0.23,0,1,0,442.0,0.18,1,0.8029887,escalate,1
CASE00067,Novak and Sons,fashion_apparel,card_testing_mule,53,46.8,4.08,0.043,0.1001,0.57,0,856,0,0.79,0.31,0,2,0,238.0,0.23,1,0.8903756,escalate,1
CASE00068,Russell Group,travel_hospitality,organic_growth,555,165.1,0.99,0.088,0.0039,0.96,0,531,1,0.32,0.08,0,0,0,521.0,0.99,0,0.046511397,auto_clear,0
CASE00069,Hancock Inc,electronics,account_takeover,545,103.2,1.86,0.019,0.018,1.0,1,3,1,0.49,0.28,0,0,0,1149.0,0.95,0,0.18986891,auto_clear,1
CASE00070,Gray Group,home_decor,card_testing_mule,17,134.2,3.0,0.031,0.0679,0.45,0,821,1,1.0,0.46,0,2,1,54.0,0.38,1,0.9377672,escalate,1
CASE00071,House-Glover,handicrafts_d2c,organic_growth,400,37.9,1.24,0.024,0.0018,0.92,0,372,1,0.37,0.04,0,0,0,926.0,0.95,0,0.026441863,auto_clear,0
CASE00072,Henderson-Bernard,travel_hospitality,bank_account_update,654,256.1,1.01,0.041,0.0003,0.89,1,7,0,0.19,0.07,0,0,0,1137.0,0.91,0,0.020000614,auto_clear,1
CASE00073,"Stanley, Tucker and Lee",handicrafts_d2c,card_testing_mule,3,207.7,4.88,0.042,0.0606,0.51,0,545,0,0.74,0.28,0,0,0,153.0,0.17,1,0.9832185,escalate,1
CASE00074,Novak PLC,saas_subscription,account_takeover,447,148.6,2.55,0.041,0.0118,0.74,1,2,1,0.38,0.46,0,0,0,1066.0,1.09,0,0.18649653,auto_clear,1
CASE00075,"Daniels, Adkins and Brown",home_decor,card_testing_mule,59,123.4,4.95,0.048,0.0848,0.5,0,645,0,0.65,0.27,0,1,1,20.0,0.51,1,0.8814114,escalate,1
CASE00076,"Woods, Calhoun and Schmidt",fashion_apparel,festive_spike,852,36.2,4.81,0.072,0.0107,0.86,0,825,0,0.28,0.11,1,0,0,894.0,1.09,0,0.08190745,auto_clear,1
CASE00077,Yu Inc,handicrafts_d2c,bank_account_update,1066,163.5,0.67,0.031,0.0054,0.86,1,6,0,0.32,0.0,0,0,0,1210.0,0.92,0,0.03608703,auto_clear,1
CASE00078,Jones Inc,home_decor,festive_spike,180,184.3,4.65,0.0,0.0075,0.89,0,208,1,0.34,0.04,1,0,0,1021.0,0.71,1,0.7831028,escalate,1
CASE00079,"Hensley, Powell and David",travel_hospitality,account_takeover,843,187.7,2.93,0.016,0.0,0.82,1,1,4,0.59,0.24,0,1,0,260.0,1.16,0,0.18890001,auto_clear,1
CASE00080,"Sanchez, Wheeler and Harvey",fashion_apparel,account_takeover,500,80.8,1.92,0.02,0.0266,0.8,1,0,2,0.67,0.29,0,1,0,706.0,0.93,1,0.85444885,escalate,1
CASE00081,Sandoval-Cunningham,home_decor,festive_spike,595,86.4,4.6,0.093,0.0019,0.94,0,560,0,0.22,0.01,1,0,0,1018.0,1.02,0,0.14069091,auto_clear,1
CASE00082,Donovan-Harris,food_delivery,card_testing_mule,11,80.0,2.78,0.045,0.0825,0.68,0,211,0,0.78,0.24,0,2,1,323.0,0.53,0,0.110972404,auto_clear,1
CASE00083,"Edwards, Baker and Anderson",beauty_cosmetics,bank_account_update,300,91.3,1.48,0.03,0.0076,0.82,1,3,0,0.25,0.13,0,0,0,918.0,1.09,0,0.14551073,auto_clear,1
CASE00084,"Evans, Stewart and Walton",fashion_apparel,festive_spike,180,46.5,4.37,0.085,0.0065,0.97,0,855,0,0.24,0.03,1,1,0,909.0,1.04,0,0.16878559,auto_clear,1
CASE00085,Smith PLC,handicrafts_d2c,bank_account_update,315,5.0,1.26,0.041,0.0,0.87,1,9,0,0.21,0.1,0,0,0,339.0,1.02,0,0.08979267,auto_clear,1
CASE00086,"Ferrell, Jones and Lewis",travel_hospitality,account_takeover,460,125.7,1.58,0.057,0.0387,0.76,1,4,0,0.71,0.4,0,0,0,595.0,1.14,1,0.727574,escalate,1
CASE00087,Anderson-Bailey,grocery,card_testing_mule,67,166.4,6.82,0.041,0.0904,0.65,0,551,0,0.74,0.35,0,1,0,209.0,0.36,1,0.9960085,escalate,1
CASE00088,Suarez LLC,handicrafts_d2c,account_takeover,230,176.2,3.2,0.043,0.0672,0.96,1,0,2,0.76,0.53,0,2,0,502.0,0.95,1,0.93067527,escalate,1
CASE00089,Moore-Bass,saas_subscription,bank_account_update,534,148.9,1.25,0.052,0.0035,0.81,1,5,0,0.2,0.0,0,1,0,613.0,1.2,0,0.014944804,auto_clear,1
CASE00090,"Turner, Riggs and Roman",electronics,festive_spike,361,107.1,5.95,0.129,0.0043,1.0,0,611,1,0.25,0.1,1,0,0,626.0,1.08,1,0.9779515,escalate,1
CASE00091,"Smith, Montoya and Evans",fashion_apparel,account_takeover,240,125.6,2.67,0.042,0.0434,0.81,1,1,3,0.55,0.2,0,1,0,994.0,0.89,1,0.9096131,escalate,1
CASE00092,"Garcia, Humphrey and Baker",beauty_cosmetics,festive_spike,180,116.7,5.98,0.066,0.0047,0.93,0,540,0,0.18,0.1,1,0,0,1234.0,1.06,1,0.9302549,escalate,1
CASE00093,Newton and Sons,food_delivery,bank_account_update,351,92.7,1.16,0.018,0.0075,0.92,1,8,0,0.49,0.05,0,0,0,1294.0,1.0,0,0.051038604,auto_clear,1
CASE00094,Campbell-Clark,electronics,organic_growth,400,188.5,1.1,0.031,0.003,1.0,0,803,1,0.27,0.06,0,1,0,626.0,1.04,1,0.3801459,agent_review,0
CASE00095,Harris-Walters,handicrafts_d2c,card_testing_mule,61,149.8,5.81,0.034,0.0728,0.59,0,565,0,0.67,0.13,0,0,0,195.0,0.68,0,0.55704904,agent_review,1
CASE00096,Wagner-King,saas_subscription,festive_spike,752,108.6,5.62,0.054,0.0082,0.81,0,380,0,0.45,0.12,1,0,0,1049.0,1.0,1,0.31808898,agent_review,1
CASE00097,Davis Group,travel_hospitality,bank_account_update,1157,60.1,1.03,0.05,0.0151,0.68,1,0,0,0.21,0.12,0,0,0,705.0,0.99,0,0.014917354,auto_clear,1
CASE00098,Williams-Cook,fashion_apparel,account_takeover,727,89.0,2.45,0.028,0.012,0.95,1,2,4,0.76,0.29,0,0,0,336.0,0.96,1,0.7696623,escalate,1
CASE00099,Walsh LLC,grocery,card_testing_mule,6,214.5,3.29,0.011,0.1197,0.36,0,613,0,0.71,0.32,0,0,0,282.0,0.88,1,0.5948799,agent_review,1
CASE00100,Figueroa PLC,grocery,card_testing_mule,66,179.7,7.65,0.041,0.0097,0.29,0,348,1,0.9,0.25,0,0,0,143.0,0.52,1,0.9878543,escalate,1
CASE00101,"Patterson, Smith and Jones",grocery,organic_growth,400,199.4,1.06,0.04,0.0029,0.96,0,839,2,0.1,0.09,0,0,0,688.0,1.18,0,0.02733845,auto_clear,0
CASE00102,"Mckee, Gardner and Davenport",fashion_apparel,organic_growth,1038,133.8,1.17,0.056,0.004,0.99,0,405,0,0.52,0.07,0,1,0,1293.0,1.06,0,0.013867965,auto_clear,0
CASE00103,"Tran, Jordan and Williams",home_decor,account_takeover,543,101.6,1.62,0.074,0.0352,0.96,1,4,1,0.76,0.32,0,0,0,115.0,0.98,0,0.30602732,agent_review,1
CASE00104,Nolan-Flynn,food_delivery,festive_spike,617,128.7,4.65,0.038,0.0015,0.94,0,484,2,0.27,0.12,1,0,0,605.0,0.97,0,0.16050225,auto_clear,1
CASE00105,Nolan and Sons,home_decor,card_testing_mule,22,97.2,3.83,0.057,0.0764,0.47,0,831,2,0.8,0.31,0,1,0,238.0,0.77,1,0.96467984,escalate,1
CASE00106,"Wright, Garcia and Deleon",grocery,account_takeover,536,179.7,1.59,0.068,0.0115,0.95,1,2,2,0.6,0.55,0,2,0,1295.0,1.03,0,0.23274551,agent_review,1
CASE00107,Dickson-Brady,beauty_cosmetics,account_takeover,302,79.3,1.86,0.059,0.0431,1.0,1,3,4,0.69,0.21,0,0,0,1341.0,1.15,0,0.85441196,escalate,1
CASE00108,Hancock and Sons,home_decor,account_takeover,636,61.8,2.31,0.069,0.0145,1.0,1,1,3,0.6,0.39,0,0,0,865.0,1.13,0,0.19864908,auto_clear,1
CASE00109,Johnson-Doyle,electronics,festive_spike,335,80.7,5.18,0.12,0.0031,0.89,0,327,0,0.46,0.11,1,0,0,982.0,1.12,0,0.25633013,agent_review,1
CASE00110,Patton-Jenkins,saas_subscription,organic_growth,400,5.4,1.04,0.019,0.0054,0.98,0,808,0,0.35,0.09,0,0,0,455.0,1.09,0,0.089326166,auto_clear,0
CASE00111,"Shields, Cochran and Adams",grocery,card_testing_mule,17,117.0,6.31,0.039,0.1202,0.4,0,559,0,0.67,0.3,0,3,1,127.0,0.43,1,0.9986381,escalate,1
CASE00112,"Rodriguez, Brennan and Garrison",travel_hospitality,account_takeover,1820,68.8,1.91,0.023,0.0146,0.98,1,2,3,0.83,0.18,0,2,0,957.0,0.96,0,0.16032526,auto_clear,1
CASE00113,Gonzalez Group,travel_hospitality,account_takeover,1276,166.2,2.46,0.052,0.0163,0.89,1,1,2,0.83,0.4,0,1,0,396.0,1.15,0,0.1962152,auto_clear,1
CASE00114,Torres-Pope,handicrafts_d2c,account_takeover,674,104.5,1.61,0.027,0.017,0.98,1,1,2,0.59,0.3,0,0,0,50.0,1.03,1,0.517096,agent_review,1
CASE00115,Walker Ltd,home_decor,organic_growth,400,160.6,1.14,0.04,0.0035,0.97,0,632,0,0.55,0.03,0,1,0,402.0,1.05,0,0.076811604,auto_clear,0
CASE00116,Ross LLC,food_delivery,account_takeover,633,80.1,1.69,0.029,0.0087,0.96,1,0,3,0.63,0.23,0,0,0,471.0,1.16,1,0.81395406,escalate,1
CASE00117,Rasmussen LLC,handicrafts_d2c,card_testing_mule,61,79.3,3.34,0.002,0.0405,0.67,0,355,1,0.73,0.28,0,0,0,226.0,0.53,0,0.15181394,auto_clear,1
CASE00118,May-Ross,food_delivery,card_testing_mule,50,124.7,6.44,0.056,0.1123,0.89,0,328,0,0.82,0.55,0,0,0,180.0,0.1,1,0.9975425,escalate,1
CASE00119,"Rivera, Johnson and Wiley",fashion_apparel,account_takeover,241,173.9,2.46,0.046,0.0313,0.88,1,3,4,0.91,0.53,0,2,0,93.0,1.14,1,0.9690258,escalate,1
CASE00120,White-Estes,saas_subscription,bank_account_update,300,151.9,1.09,0.044,0.0128,0.88,1,1,1,0.3,0.0,0,1,0,1613.0,1.0,0,0.07419479,auto_clear,1
CASE00121,Johnson-Carlson,travel_hospitality,card_testing_mule,32,83.4,3.84,0.038,0.0287,0.97,0,747,0,0.72,0.23,0,1,1,175.0,0.93,1,0.9238363,escalate,1
CASE00122,Chandler-Edwards,handicrafts_d2c,card_testing_mule,61,5.0,7.54,0.035,0.0421,0.57,0,661,1,0.96,0.37,0,0,0,20.0,0.28,1,0.99015945,escalate,1
CASE00123,"Joyce, Wilson and Lam",electronics,card_testing_mule,48,154.3,3.99,0.047,0.1077,0.76,0,411,0,0.84,0.43,0,0,0,146.0,0.59,1,0.945653,escalate,1
CASE00124,Scott Ltd,beauty_cosmetics,card_testing_mule,52,79.7,6.41,0.064,0.0272,0.77,0,239,1,0.78,0.11,0,0,0,294.0,0.35,1,0.9859503,escalate,1
CASE00125,Smith-Frost,saas_subscription,card_testing_mule,48,65.7,2.72,0.059,0.0878,0.62,0,267,0,0.77,0.33,0,1,0,250.0,0.69,1,0.4612052,agent_review,1
CASE00126,"Mcdaniel, Bentley and Mclaughlin",fashion_apparel,card_testing_mule,46,80.0,7.61,0.024,0.0313,0.8,0,471,0,0.71,0.26,0,2,1,120.0,0.51,1,0.9949184,escalate,1
CASE00127,Diaz Inc,electronics,bank_account_update,301,170.1,0.96,0.076,0.006,0.88,1,0,1,0.29,0.05,0,0,0,1869.0,0.97,1,0.37782136,agent_review,1
CASE00128,"Mccall, Hanson and Alvarado",handicrafts_d2c,card_testing_mule,23,48.7,5.61,0.054,0.0543,0.38,0,530,1,0.66,0.23,0,0,1,242.0,0.25,1,0.9973884,escalate,1
CASE00129,Cortez LLC,saas_subscription,card_testing_mule,15,107.6,6.01,0.032,0.079,0.39,0,573,0,0.66,0.44,0,1,0,174.0,0.63,1,0.9973883,escalate,1
CASE00130,"Parker, Ortiz and Powell",handicrafts_d2c,account_takeover,59,84.5,2.73,0.039,0.0323,0.78,1,0,1,0.84,0.23,0,1,0,1239.0,1.07,0,0.41297373,agent_review,1
CASE00131,Spencer-Lee,home_decor,bank_account_update,908,35.7,1.18,0.033,0.0064,0.66,1,8,0,0.27,0.09,0,0,0,932.0,1.16,0,0.011442591,auto_clear,1
CASE00132,"Bentley, Byrd and Orr",grocery,organic_growth,400,5.0,1.01,0.059,0.0022,0.99,0,592,0,0.38,0.05,0,0,0,504.0,1.1,0,0.06404029,auto_clear,0
CASE00133,"Carroll, Sullivan and Bass",travel_hospitality,festive_spike,276,85.0,4.9,0.077,0.0048,0.89,0,207,1,0.39,0.13,1,1,0,994.0,1.07,1,0.6021523,agent_review,1
CASE00134,Mitchell-Jordan,saas_subscription,festive_spike,761,79.8,3.38,0.089,0.0,0.83,0,653,0,0.39,0.09,1,1,0,530.0,0.97,0,0.031028738,auto_clear,1
CASE00135,"Lawson, Morris and Ramos",education,organic_growth,400,55.3,1.16,0.033,0.0047,0.97,0,802,0,0.28,0.09,0,0,0,1016.0,0.91,0,0.05586748,auto_clear,0
CASE00136,"Lewis, Kennedy and Santana",home_decor,card_testing_mule,24,58.8,7.02,0.039,0.0838,0.56,0,331,0,0.78,0.25,0,2,0,47.0,0.39,1,0.99708074,escalate,1
CASE00137,"Jackson, Miller and Robertson",saas_subscription,account_takeover,569,90.0,3.08,0.03,0.0501,0.76,1,4,5,0.8,0.25,0,0,0,696.0,0.81,1,0.9477792,escalate,1
CASE00138,"Harvey, Davis and Crane",fashion_apparel,account_takeover,459,53.6,1.9,0.042,0.0152,0.91,1,3,5,0.94,0.46,0,1,0,1926.0,1.04,1,0.80560124,escalate,1
CASE00139,Chambers and Sons,travel_hospitality,bank_account_update,307,100.3,1.05,0.06,0.0028,0.94,1,3,0,0.49,0.12,0,0,0,462.0,1.02,0,0.16670288,auto_clear,1
